These are all the places available in search.  Follow the format: Name (no spaces capitals or hyphens),Latitude,Longitude,Zoom (-1=default city-level zoom) || These Haiti positions were extracted from public domain MINUSTAH data
puntadeleste,-34.9711111,-54.9519444,21
puntadeldiablo,-34.0276,-53.5254,21
uruguay,-31.5,-57,10
montevideo,-34.8836111,-56.1819444,21
salto,-31.4166667,-57.9166667,21
ciudaddelacosta,-34.8166667,-55.95,21
paysandu,-32.3213889,-58.0755556,21
paysandú,-32.3213889,-58.0755556,21
laspiedras,-34.7166667,-56.216666,21
maldonado,-34.9,-54.95,21
tacuarembo,-31.733333,-55.9833333,22
tacuarembo,-31.733333,-55.9833333,22
melo,-32.366666,-54.183333,21
artigas,-30.466666,-56.4666666,21
durazno,-33.366666,-56.5166666,21
florida,-34.1,-56.2166666,21
treintaytres,-33.2333333,-54.38333333,21
treinta,-33.2333333,-54.38333333,21
sancarlos,-34.8,-54.91666666,21
pando,-34.7166666,-55.95,21
fraybentos,-33.133333,-58.3,21
coloniadelsacramento,-34.471388,-57.8441666,21
colonia,-34.471388,-57.8441666,21
sacramento,-34.471388,-57.8441666,21
trinidad,-33.53333,-56.8833333,21
lapaz,-34.761666,-56.223333,21
canelones,-34.5166666,-56.266666,21
carmelo,-34,-58.283333,21
progreso,-34.665,-56.21944444,21
young,-32.683055,-57,633055,21
pasodelostoros,-32.81805,-56.50638888,23
bellaunión,-30.25,-57.583333,21
bellaunion,-30.25,-57.583333,21
nuevahelvecia,-34.2843333,-57.2,21
nuevapalmira,-33.883333,-58.4166666,21
chuy,-33.692777,-53.458055,21
ríobranco,-32.5667,-53.4167,21
riobranco,-32.5667,-53.4167,21
rivera,-30.894444,-55.538055,21
mercedes,-33.25222,-58.028055,21
minas,-34.36666,-55.233333,21
sanjosédemayo,-34.3388889,-56.7102778,21
sanjosedemayo,-34.3388889,-56.7102778,21
rocha,-34.4805556,-54.3302778,21
dolores,-33.5297,-58.2172,21
lapaloma,-34.664,-54.1568,21
lapedrera,-34.5922,-54.125,21
lapederera,-34.5922,-54.125,21
cabopolonio,-34.4016,-53.7842,21
cabopolonia,-34.4016,-53.7842,21
